efgroup,species,ef
3,Naphthalene,0.325
3,Nonadiene,0.003
3,Nonane,0.014
3,Octadiene,0.029
3,Other C6H10,0.005
3,PM10,20.73
3,PM2.5,17.57
3,Pentadieneisomer,0.003
3,Pentenone,0.517
3,Pentenyneisomers,0.003
3,Phenol,0.8
3,Propanal,0.144
3,Propane,0.242
3,Propanenitrile,0.012
3,Propylene,0.723
3,Propyne,0.033
3,Pyrrole,0.01
3,Pyruvic Acid,0.023
3,Resorcinol,1.647
3,SO2,1.06
3,Sesquiterpenes,0.082
3,Styrene,0.069
3,Terpinolene,0.005
3,Tetrahydrofuran,0
3,Toluene,0.229
3,Vinyl Acetate,0
3,alpha-Methylstyrene,0.003
3,alpha-Pinene,0.052
3,beta-Pinene,0.026
3,cis-1_3-Hexadiene,0.002
3,cis-1_3-Pentadiene,0.016
3,cis-2-Butene,0.038
3,cis-2-Hexene,0.021
3,cis-2-Pentene,0.043
3,gamma-Terpinene,0.002
3,i-Butane,0.09
3,i-Pentane,0.041
3,iso-Limonene,0.006
3,"m,p-Xylenes",0.144
3,n-Butanal,0.035
3,n-Butane,0.126
3,n-Butylbenzene,0.012
3,n-Decane,0.014
3,n-Heptane,0.026
3,n-Hexanal,0.038
3,n-Hexane,0.032
3,n-Octane,0.023
3,n-Pentane,0.055
3,n-Propylbenzene,0.01
3,n-Undecane,0.025
3,o-Xylene,0.05
3,p-Cymene,0.083
3,trans-1_3-Hexadiene,0.006
3,trans-1_3-Pentadiene,0.026
3,trans-2-Butene,0.046
3,trans-2-Pentene,0.018
30,CH4,2.16
30,CO,97
30,CO2,1588
30,NH3,1.6
30,NOx,3.33
30,PM10,9.27
30,PM2.5,7.88
30,SO2,0.73
31,CH4,1.87
31,CO,64
31,CO2,1684
31,NH3,1.16
31,NOx,3.11
31,PM10,8.38
31,PM2.5,7.12
31,SO2,0.75
32,CH4,4.14
32,CO,76
32,CO2,1539
32,NH3,3.13
32,NOx,2.89
32,PM10,11.52
32,PM2.5,9.79
32,SO2,0.55
33,CH4,2.6
33,CO,86.49
33,CO2,1614.26
33,NH3,1.03
33,NOx,1.28
33,PM10,12.39
33,PM2.5,10.53
33,SO2,0.13
34,CH4,2.03
34,CO,72.29
34,CO2,1624.11
34,NH3,1.1
34,NOx,1.28
34,PM10,12.39
34,PM2.5,10.53
34,SO2,0.13
35,CH4,4.7
35,CO,113
35,CO2,1616
35,NH3,1.03
35,NOx,1.28
35,PM10,12.39
35,PM2.5,10.53
35,SO2,0.13
4,CH4,6.27
4,CO,108.88
4,CO2,1481.2
4,NH3,1.55
4,NMOC,33.874
4,NOx,0.45
4,PM10,26.78
4,PM2.5,25.44
4,SO2,0.33
5,"1,2,3-Trimethylbenzene",0.0183
5,"1,2,4-Trimethylbenzene",0.0166
5,"1,3,5-Trimethylbenzene",0.0143
5,1-Butanol,0.208
5,1-Butene,0.0909
5,1-Butenylbenzene,0.0025
5,1-Decene,0.0125
5,1-Ethyl-2-Methylbenzene,0.0111
5,"1-Ethyl-3-,4-Methylbenzene",0.0163
5,1-Heptene,0.0524
5,1-Hexene,0.0673
5,1-Methyl-1-Propenylbenzene,0.0321
5,1-Methylcyclohexane,0.0028
5,1-Methylcyclohexene,0.0028
5,1-Methylcyclopentane,0.00455
5,1-Methylcyclopentene,0.0117
5,1-Methylpyrazole,0.0051
5,1-Methylpyrrole,0.0119
5,1-Nonene,0.0103
5,1-Octene,0.0522
5,1-Pentene,0.0177
5,1-Propenylbenzene,0.0046
5,1-Undecene,0.0136
5,1_1-Dimethylhydrazine,0.046
5,1_2-Butadiene,0.0025
5,1_2-Butyne,0.00875
5,1_2-Dihydronaphthalene,0.00685
5,1_3-Butadiene,0.12
5,1_3-Butadiyne,0.0058
5,1_3-CyclopentadienePIT,0.0257
5,1_3-Dihydronaphthalene,0.0074
5,1_3-MethylIndene,0.00145
5,1_4-Diethylbenzene,0.00155
5,2-Ethylfuran,0.0094
5,2-Ethylpyrazine,0.00415
5,2-Furaldehyde,0.279
5,2-Hexanone,0.0153
5,2-Methyl-1-Butene,0.00965
5,2-Methyl-1-Pentene,0.0674
5,2-Methyl-2-Butenal,0.0059
5,2-Methyl-2-Butene,0.0147
5,2-Methylbutanal,0.0422
5,2-Methylfuran,0.159
5,2-Methylpropanal,0.0439
5,2-Methylpropene,0.0262
5,2-Methylstyrene,0.0135
5,2-Pentanone,0.0524
5,2-Propenylbenzene,0.00595
5,2_2-Dimethylbutane,0.00005
5,2_2-Dimethylpropane,0.0001
5,2_3-Butadione,0.146
5,2_3-Dihydro-1_4-Dioxin,0.00255
5,2_5-Dihydrofuran,0.0153
5,2_5-Dimethylfuran,0.0208
5,3-Carene,0.0189
5,3-Furaldehyde,0.0118
5,3-Hexanone,0.033
5,3-Methyl-1-Butene,0.0033
5,3-Methyl-2-Butanone,0.0228
5,3-Methylfuran,0.0129
5,3-Methylpentane,0.0032
5,3-Methylstyrene,0.02
5,3-Pentanone,0.03
5,4-Methylstyrene,0.0062
5,Acetaldehyde,0.563
5,Acetic Acid,1.91
5,Acetone,0.31
5,Acetonitrile,0.146
5,Acrolein,0.386
5,Acrylic Acid,0.00975
5,Acrylonitrile,0.026
