Units = lb/ton,,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8
Pollutant,Formula,Southeastern Forest,Boreal Forest,Western Forest - Rx,Western Forest - WF,Shrubland,Grassland,Woody RSC,Duff RSC
Ethanol ,CH3CH2OH,0.0240,0.0540,0.4780,0.6400,0.1106,0.1106,0.0380,0.9900
Acetic Acid ,CH3COOH,2.9780,4.8400,6.0400,8.9220,3.8200,3.8200,3.6740,14.7990
Glycolaldehyde ,C2H4O2,0.6100,1.0120,1.4500,1.8320,0.3980,0.3980,0.0000,7.4400
Methyl Formate ,C2H4O2,0.0280,0.0380,0.0440,0.0600,0.1464,0.1464,0.0880,0.0980
1_1-Dimethylhydrazine ,C2H8N2,0.0400,0.0540,0.0640,0.0860,0.0920,0.0920,0.1260,0.0000
Glycolic Acid ,C2H4O3,0.0560,0.0780,0.0920,0.1220,0.0091,0.0091,0.1820,0.1800
Propyne ,C3H4,0.1120,0.0580,0.0660,0.0880,0.0566,0.0566,0.0380,0.0840
Propylene ,C3H6,0.8520,0.8900,1.4460,1.3960,1.0640,1.0640,2.1200,3.5810
Propane ,C3H8,0.1880,0.4600,0.4840,1.0180,1.7780,1.7780,1.6040,1.5940
Acrylonitrile ,C3H3N,0.1080,0.0580,0.0680,0.0900,0.0520,0.0520,0.0540,0.3020
Propanenitrile ,C3H5N,0.0140,0.0200,0.0240,0.0320,0.0234,0.0234,0.0460,0.0480
Acrolein ,C3H4O,0.6460,0.5820,0.6840,0.9160,0.7720,0.7720,0.9440,1.1800
Acetone ,C3H6O,1.3020,0.7400,1.1500,1.5400,0.6200,0.6200,3.0960,2.7800
Propanal ,C3H6O,0.1760,0.2460,0.2880,0.3860,0.1938,0.1938,0.5720,0.7060
Acrylic Acid ,C3H4O2,0.0580,0.0800,0.0940,0.1240,0.0195,0.0195,0.1860,0.3060
Ethyl Formate ,C3H6O2,0.0100,0.0140,0.0180,0.0220,0.0252,0.0252,0.0340,0.0480
Methyl Acetate ,C3H6O2,0.0140,0.2960,0.3480,0.4680,0.5180,0.5180,0.1380,0.5540
Pyruvic Acid ,C3H4O3,0.0280,0.0380,0.0460,0.0600,0.0177,0.0177,0.0900,0.5380
1_3-Butadiyne ,C4H2,0.0020,0.0020,0.0020,0.0020,0.0116,0.0116,0.0040,0.0180
Butenyne ,C4H4,0.0040,0.0060,0.0060,0.0080,0.0187,0.0187,0.0140,0.0360
1_3-Butadiene ,C4H6,0.5160,0.1400,0.3620,0.4860,0.2400,0.2400,0.2940,0.5860
1_2-Butadiene ,C4H6,0.0020,0.0040,0.0040,0.0060,0.0050,0.0050,0.0080,0.0000
1_2-Butyne ,C4H6,0.0200,0.0060,0.0080,0.0100,0.0175,0.0175,0.0160,0.0280
trans-2-Butene ,C4H8,0.0700,0.0400,0.0920,0.1220,0.0312,0.0312,0.2240,0.2500
1-Butene ,C4H8,0.2620,0.1540,0.2900,0.3880,0.1818,0.1818,0.4960,0.6220
2-Methylpropene ,C4H8,0.1060,0.1460,0.1720,0.2300,0.0524,0.0524,0.3420,0.4920
cis-2-Butene ,C4H8,0.0560,0.0300,0.0760,0.1000,0.0294,0.0294,0.1780,0.1960
i-Butane ,C4H10,0.0200,0.0420,0.1800,0.2420,0.0428,0.0428,0.1380,0.4760
