Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
Methylbenzofuran ,"isomer 4,C9H8O",0.000,0.000,0.000,,,0.001,0.001,0,0,0
Ethylstyrene ,C10H12,0.002,0.003,0.005,,,0.004,0.004,0.008,0.002,0.002
1-Methyl-1-Propenylbenzene ,C10H12,0.009,0.013,0.020,,,0.032,0.032,0.03,0.005,0.005
p-Cymene ,C10H14,0.002,0.071,0.111,,,0.117,0.117,0.422,0.059,0.059
C10H14 non-aromatic  ,C10H14,0.002,0.003,0.005,,,0.002,0.002,0.007,0,0
Isobutylbenzene ,C10H14,0.005,0.007,0.011,,,0.005,0.005,0.017,0.008,0.008
Methyl-n-Propylbenzene ,"isomer 1,C10H14",0.006,0.008,0.012,,,0.004,0.004,0.018,0.002,0.002
Methyl-n-Propylbenzene ,"isomer 2,C10H14",0.005,0.007,0.010,,,0.004,0.004,0.015,0.002,0.002
n-Butylbenzene ,C10H14,0.008,0.011,0.017,,,0.007,0.007,0.025,0.013,0.013
"1,4-Diethylbenzene ",C10H14,0.002,0.002,0.004,,,0.002,0.002,0.005,0.002,0.002
Ethyl Xylene ,"isomer 1 ,C10H14",0.006,0.008,0.012,,,0.006,0.006,0.018,0.003,0.003
Ethyl Xylene ,"isomer 2,C10H14",0.003,0.004,0.007,,,0.004,0.004,0.01,0.002,0.002
Monoterpenes ,C10H16,0.253,0.351,0.553,,,0.146,0.146,0.82,0.695,0.695
beta-Pinene ,C10H16,0.052,0.720,0.035,,,0.013,0.013,0.316,0.092,0.092
D-Limonene ,C10H16,0.060,0.083,0.131,,,0.025,0.025,2.647,0.085,0.085
Myrcene ,C10H16,0.002,0.004,0.006,,,0.010,0.010,0.058,0.036,0.036
3-Carene ,C10H16,0.009,0.013,0.020,,,0.019,0.019,0.03,0.023,0.023
gamma-Terpinene ,C10H16,0.001,0.001,0.002,,,0.005,0.005,0.003,0.004,0.004
Terpinolene ,C10H16,0.003,0.004,0.007,,,0.007,0.007,0.01,0.007,0.007
alpha-Pinene ,C10H16,0.094,0.810,0.070,,,0.016,0.016,2.65,0.084,0.084
Camphene ,C10H16,0.008,0.024,0.038,,,0.009,0.009,0.361,0.081,0.081
iso-Limonene ,C10H16,0.003,0.005,0.008,,,0.000,0.000,0.011,0.002,0.002
1-Decene ,C10H20,0.011,0.015,0.024,,,0.013,0.013,0.036,0.022,0.022
n-Decane ,C10H22,0.019,0.012,0.018,,,0.015,0.015,0.027,0.027,0.027
C11 Aromatics ,C11,0.084,0.117,0.184,,,0.055,0.055,0.274,0.228,0.228
1-Undecene ,C11H22,0.014,0.019,0.030,,,0.014,0.014,0.045,0.036,0.036
n-Undecane ,C11H24,0.016,0.022,0.034,,,0.019,0.019,0.05,0.043,0.043
Sesquiterpenes ,C15H24,0.050,0.070,0.110,,,0.017,0.017,0.163,0.095,0.095
